Venue,Division,Season,Date,Round,URL,Player,First Thrower,Opponent,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9,Throw_10,Throw_11,Throw_12
Morden,,,29/06/2025,Last 16,https://www.dartsatlas.com/matches/XlhPXPSJpjCA,Charlie Sutherland,First,Charlie Green,2,25,WON,62,60,43,100,100,60,44,20,12,,,
Morden,,,29/06/2025,Last 16,https://www.dartsatlas.com/matches/XlhPXPSJpjCA,Charlie Green,First,Charlie Sutherland,3,21,WON,100,140,60,41,24,26,110,,,,,
Morden,,,29/06/2025,Last 16,https://www.dartsatlas.com/matches/XlhPXPSJpjCA,Charlie Sutherland,Second,Charlie Green,3,18,LOST,100,60,58,100,60,24,,,,,,
Morden,,,29/06/2025,Last 16,https://www.dartsatlas.com/matches/XlhPXPSJpjCA,Charlie Green,Second,Charlie Sutherland,4,27,LOST,42,100,121,23,36,44,55,70,0,,,
Morden,,,29/06/2025,Last 16,https://www.dartsatlas.com/matches/XlhPXPSJpjCA,Charlie Sutherland,First,Charlie Green,4,28,WON,58,45,56,43,43,140,60,16,20,20,,
Morden,,,29/06/2025,Last 16,https://www.dartsatlas.com/matches/XlhPXPSJpjCA,Charlie Green,First,Charlie Sutherland,5,26,WON,100,26,43,60,35,100,97,20,20,,,
Morden,,,29/06/2025,Last 16,https://www.dartsatlas.com/matches/XlhPXPSJpjCA,Charlie Sutherland,Second,Charlie Green,5,24,LOST,100,100,28,96,100,67,6,0,,,,
Morden,,,29/06/2025,Last 16,https://www.dartsatlas.com/matches/XlhPXPSJpjCA,Charlie Green,Second,Charlie Sutherland,6,24,LOST,54,60,100,60,100,87,30,8,,,,
Morden,,,29/06/2025,Last 16,https://www.dartsatlas.com/matches/XlhPXPSJpjCA,Charlie Sutherland,First,Charlie Green,6,27,WON,61,60,58,84,100,46,71,13,8,,,
Morden,,,29/06/2025,Last 16,https://www.dartsatlas.com/matches/XlhPXPSJpjCA,Charlie Green,First,Charlie Sutherland,7,24,LOST,39,140,29,28,83,45,83,14,,,,
Morden,,,29/06/2025,Last 16,https://www.dartsatlas.com/matches/XlhPXPSJpjCA,Charlie Sutherland,Second,Charlie Green,7,22,WON,97,96,94,41,68,57,16,32,,,,
